ID;BP;ROE ;SP;Return_last_quarter ;Market_Value ; Small_systematic_Risk;Annual_Return;Excess_Return;Systematic_Risk;Total_Risk;Abs_Win_Rate;Rel_Win_Rate
28;0.000;0.333;0.333;0.000;0.333;0.000;0.567;0.562;0.379;0.267;0.560;0.624
29;0.333;0.000;0.000;0.333;0.333;0.000;0.474;0.482;0.375;0.293;0.600;0.447
30;0.000;0.333;0.000;0.333;0.333;0.000;0.461;0.430;0.486;0.337;0.560;0.588
31;0.000;0.000;0.333;0.333;0.333;0.000;0.527;0.514;0.430;0.335;0.560;0.624
32;0.333;0.333;0.000;0.000;0.000;0.333;0.678;0.746;0.200;0.276;0.760;0.518
33;0.333;0.000;0.333;0.000;0.000;0.333;0.513;0.525;0.460;0.511;0.440;0.412
34;0.000;0.333;0.333;0.000;0.000;0.333;0.753;0.755;0.369;0.377;0.560;0.588
35;0.333;0.000;0.000;0.333;0.000;0.333;0.471;0.512;0.325;0.339;0.520;0.482
36;0.000;0.333;0.000;0.333;0.000;0.333;0.613;0.621;0.377;0.356;0.480;0.553
37;0.000;0.000;0.333;0.333;0.000;0.333;0.619;0.609;0.465;0.464;0.480;0.412
38;0.333;0.000;0.000;0.000;0.333;0.333;0.526;0.552;0.348;0.339;0.640;0.482
39;0.000;0.333;0.000;0.000;0.333;0.333;0.525;0.524;0.358;0.215;0.440;0.694
40;0.000;0.000;0.333;0.000;0.333;0.333;0.542;0.570;0.338;0.334;0.520;0.412
41;0.000;0.000;0.000;0.333;0.333;0.333;0.295;0.281;0.525;0.458;0.280;0.200
42;0.250;0.250;0.250;0.250;0.000;0.000;0.780;0.753;0.457;0.457;0.640;0.553
43;0.250;0.250;0.250;0.000;0.250;0.000;0.679;0.665;0.415;0.363;0.680;0.765
44;0.250;0.250;0.000;0.250;0.250;0.000;0.582;0.582;0.365;0.263;0.640;0.659
45;0.250;0.000;0.250;0.250;0.250;0.000;0.599;0.580;0.469;0.435;0.520;0.447
46;0.000;0.250;0.250;0.250;0.250;0.000;0.595;0.568;0.440;0.315;0.560;0.694
47;0.250;0.250;0.250;0.000;0.000;0.250;0.714;0.732;0.358;0.412;0.600;0.588
48;0.250;0.250;0.000;0.250;0.000;0.250;0.681;0.729;0.239;0.270;0.560;0.729
49;0.250;0.000;0.250;0.250;0.000;0.250;0.601;0.613;0.432;0.492;0.480;0.376
50;0.000;0.250;0.250;0.250;0.000;0.250;0.721;0.718;0.392;0.385;0.680;0.659
51;0.250;0.250;0.000;0.000;0.250;0.250;0.646;0.700;0.207;0.200;0.800;0.729
52;0.250;0.000;0.250;0.000;0.250;0.250;0.599;0.603;0.415;0.415;0.640;0.624
53;0.000;0.250;0.250;0.000;0.250;0.250;0.649;0.665;0.312;0.258;0.640;0.694
54;0.250;0.000;0.000;0.250;0.250;0.250;0.482;0.528;0.275;0.246;0.560;0.412
55;0.000;0.250;0.000;0.250;0.250;0.250;0.534;0.530;0.396;0.301;0.480;0.518
56;0.000;0.000;0.250;0.250;0.250;0.250;0.525;0.544;0.359;0.321;0.560;0.447
57;0.200;0.200;0.200;0.200;0.200;0.000;0.687;0.673;0.402;0.346;0.680;0.624
58;0.200;0.200;0.200;0.200;0.000;0.200;0.730;0.744;0.350;0.379;0.560;0.553
59;0.200;0.200;0.200;0.000;0.200;0.200;0.685;0.707;0.323;0.329;0.640;0.729
60;0.200;0.200;0.000;0.200;0.200;0.200;0.596;0.632;0.260;0.204;0.720;0.729
61;0.200;0.000;0.200;0.200;0.200;0.200;0.613;0.631;0.360;0.369;0.520;0.412
62;0.000;0.200;0.200;0.200;0.200;0.200;0.636;0.634;0.362;0.277;0.600;0.800
63;0.167;0.167;0.167;0.167;0.167;0.167;0.693;0.716;0.296;0.285;0.680;0.800
